name,date,color,message
Evan,June 30 2020,Tangerine,All I want is you to be happy. I love you forever.\\\\n\\r\\n\r\n
Procureur,June 30 2020,Light Pink,Tu es mon meilleur ami\\n\n
shiv,June 30 2020,Pale Purple,i loved you more than you ever cared for me. i cant listen to our song anymore without feeling hurt.\\\\n\\r\\n\r\n
brendan,June 30 2020,Yellow,you make me so incredibly happy & im so in love w you. thank you for making me feel yellow.\\\\n\\r\\n\r\n
James,June 30 2020,Yellow,There this thing about you. No matter how many times we screw up and want to hate eachother I still find myself wanting the best for you.\\\\n\\r\\n\r\n
303,June 30 2020,Black,just talk to me dammit.\\\\n\\r\\n\r\n
dustin,June 30 2020,Peach,you crushed me. you led me into the hands of someone who knows how i want to be treated.\\\\n\\r\\n\r\n
ale,June 30 2020,Black,a part of me wishes youll see this but i know you wont. i loved you for so long and when you left i was broken. you changed me completely and the worst is you never apologized for leaving the way you did\\n\n
tom,June 30 2020,Orange,my heart still stops every time i see the green activity button by your username.\\\\n\\r\\n\r\n
emily,June 30 2020,Black,I guess you dont understand that you make me hate everything about myself. I cant look at myself anymore without crying. I cant talk without thinking im annoying. All because you wouldnt tell me why you left. You made me think it was because i was someone worth never coming back to. Its ok. Im not even mad. i just hate myself more and more and the only thing i need is reassurance from you. im scared to tell you this because i feel like youll think im mad and youll leave again.\\\\n\\r\\n\r\n
gabriel,June 30 2020,Black,you werent the first\\n\n
Diesel M.,June 30 2020,Maroon,even though youll never see this\\n\n
gabrille rose,June 30 2020,Maroon,i love you bff.. youre so strong.\\\\n\\r\\n\r\n
unknown,June 30 2020,Light Blue,im sorry i wasnt good enough or you. you moved on and i didnt and i still havent. someone will love you but that someone isnt me\\\\n\\r\\n\r\n
Adam,June 30 2020,Light Orange,You broke my heart and its still breaking.I wonder if I ever had yours to break.\\\\n\\r\\n\r\n
andrei,June 30 2020,Black,i wish id paid attention to your red flags from the beginning.\\\\n\\r\\n\r\n
Fionn,June 30 2020,Black,I hope your doing okay\\n\n
d,June 30 2020,Army Green,I wish u were here with me.\\\\n\\r\\n\r\n
Sam,June 30 2020,Black,okay first i had so many strong feelings for you and idk if i still do\\n\n
Rory,June 30 2020,Tangerine,Im over you now.  We werent perfect.  But you will always have been my 1st.  Ill never forget us.\\\\n\\r\\n\r\n
dawson,June 30 2020,Wine,i love you so much im trying to get better dont leave yet im trying\\\\n\\r\\n\r\n
B,June 30 2020,Light Grey,I gave you my everything and you broke my heart in pieces.\\\\n\\r\\n\r\n
Zack,June 30 2020,Black,Maybe we werent meant to be. and thats fine. i just wish you didnt treat me so bad. you meant the world to me and now sometimes i forget your et i wish we could still be friends though bc youre a good friend. i hope youre happy one day.\\\\n\\r\\n\r\n
J,June 30 2020,Army Green,I still wonder if youll really come when the Big One hits.\\\\n\\r\\n\r\n
Joshua Stanfield,June 30 2020,Black,fuck u. you manipulated me when I was vulnerable and you knew you were doing it. you dont deserve an eanation\\n\n
f,June 30 2020,Light Pink,i miss us\\n\n
Charlie Saddington,June 30 2020,Black,Ill never stop loving you\\n\n
Matteo,June 30 2020,Maroon,I still dream of you.\\\\n\\r\\n\r\n
Ashanti,June 30 2020,Light Grey,You broke me but Id give anything to have those eriences again.\\\\n\\r\\n\r\n
Danny P,June 30 2020,Red,Te amo.  S\\\\n\\r\\n\r\n
Alex,June 30 2020,Dark Green,I loved you then and I always will.It  took you sionths to forget me.I cried for seven hours when you told me that.\\\\n\\r\\n\r\n
Hayden Lennox,June 30 2020,Pink,I love you bbg youre so gorgeous and talented marry me.\\\\n\\r\\n\r\n
Nathan,June 30 2020,Blue,I know youll never love me as much as I love you\\n\n
ethan,June 30 2020,Dark Blue,I love u.\\\\\\\\n-G\\\\n\\r\\n\r\n
brett,June 30 2020,Light Pink,i wish we could of lasted\\n\n
You,June 30 2020,Light Blue,Life is hard. People move on. I didnt know myself until I was with you. I lost who I was and Im struggling to find him.\\\\n\\r\\n\r\n
ryan,June 30 2020,Maroon,why do you ignore me all the time? i feel like if you actually wanted to talk then you would put some sort of effort into actually teng me back instead of sending a teand disappearing for hours \\\\n\\r\\n\r\n
ethan,June 30 2020,Black,I need u back in my life please. In the last one I said I could wait but I cant.\\\\\\\\n G\\\\n\\r\\n\r\n
Danny P (bubs),June 30 2020,Maroon,I love you. today and always. Im constantly growing and learning. Hope its still you in the end. -S.G\\\\n\\r\\n\r\n
my friend group,June 30 2020,Yellow,why does no one ever invite me to anything? I see everyone hanging out with each other without me. am I really that bad?\\\\n\\r\\n\r\n
rhis eover ,June 30 2020,Light Green,you dont deserve happiness \\\\n\\r\\n\r\n
Silas,June 30 2020,Dark Green,I wish you wouldve hesitated a little more when I said I was leaving\\n\n
Jens,June 30 2020,Grey,Even though youre manipulative and to and hurt me so bad to the point of wanting to kill myself\\n\n
dom,June 30 2020,Tangerine,i wish i had met you sooner and i wish you didnt live so far away\\\\n\\r\\n\r\n
reece,June 30 2020,Light Blue,I hate that you made me feel such intense emotions. now I compare everyone to you\\n\n
Brett,June 30 2020,Pale Pink,i am sorry that i wasnt good enough\\\\n\\r\\n\r\n
Owen Mauriello,June 30 2020,Light Pink,You truly were the first person I really loved. You were the first boy I liked that actually knew how to treat a girl. But you broke my heart into a million pieces. And I wish I would have the guts to walk away but I rather accept the fact you broke my heart than accept our fate as strangers. Just know every time you miss me\\n\n
L,June 30 2020,Pale Blue,Before\\n\n
S,June 30 2020,Pale Blue,I just want to hold your hand one last time.\\\\n\\r\\n\r\n
S,June 30 2020,Pale Pink,im so glad i helped fiou again\\n\n
Linda,June 30 2020,Dark Purple,Im sorry. You deserved the earth and I gave you pluto.\\\\n\\r\\n\r\n
Hugo,June 30 2020,Purple,Its my fault we dont talk anymore. But you were the one who never realized I was hurting in the background.\\\\n\\r\\n\r\n
Vince (V),June 30 2020,Black,I HATE YOU! you took advantage of my love and trust\\n\n
r,June 30 2020,Light Blue,I use to have so much hate for you but now Im thankful\\n\n
Jace,June 30 2020,Maroon,I hope you find someone who eeds all of the things you want in a girlfriend. I hope that you never stop fighting for her when times get bad. I hope you end up doing what you love to do once you leave college. I hope you get the family you have always wanted. I hope you make it out of Fairfield and find a place you truly love. I hope you gain the confidence you should already have. I hope you get over your irrational fears of not being good enough. I hope you get closer with your family. I hope you make better friends\\n\n
jack,June 30 2020,Black,i try to remember us\\n\n
nigel,June 30 2020,Light Blue,sometimes I think what if we did end up going on that second date\\\\n\\r\\n\r\n
Chris,June 30 2020,Light Blue,What did you have planned for my birthday?\\\\n\\r\\n\r\n
Tisiana,June 30 2020,Maroon,Te quiero mucho.\\\\n\\r\\n\r\n
Ryan Berry,June 30 2020,Maroon,I wish I could of been woman enough for you. I can only imagine the life we would of had.\\\\n\\r\\n\r\n
lo sai,June 30 2020,Black, continuo a bere vodka e schweppes \\n\n
Ross,June 30 2020,Pale Blue,You were my rock until one day I realised youre not who I thought\\\\n\\r\\n\r\n
Neha,June 30 2020,Light Purple,I love you but I dont know if u know.\\\\n\\r\\n\r\n
Meisi,June 30 2020,Light Pink,I love you more than a bestfriend yet you dont like me the same. god! everytime we kiss you make me feel so special.. i wish we could be more- a\\\\n\\r\\n\r\n
A,June 30 2020,Light Purple,I cant get you out of my head. I dont know why. I dont know if I want to stop thinking of you or if I never want to stop thinking of you.\\\\n\\r\\n\r\n
Craig,June 30 2020,White,it is the saddest thing in the world stumbling across someone who i can love so fiercely and undeniably\\n\n
daniel,June 30 2020,Yellow,i would have done things different if i could go back. i hope u actually cared like u said. im sorry i ruined things\\n\n
d,June 30 2020,Purple,cosha lei in pi di me ?\\\\n\\r\\n\r\n
cade y,June 30 2020,Light Grey,you told me you loved me. then left the neday. i dont miss you. you made me a better person\\\\n\\r\\n\r\n
benny,June 30 2020,Black,i wish i could tell you one more time that youre the goodest boy\\\\n\\r\\n\r\n
Joey,June 30 2020,Pale Pink,I wish I could relive some nights\\\\n\\r\\n\r\n
E,June 30 2020,Light Pink,i wish we were still driving down an empty road with the music loud and your hand on my thigh\\\\n\\r\\n\r\n
Josh,June 30 2020,Blue,I wish you could see how well you love people. It was always June with you. \\\\n\\r\\n\r\n
MT,June 30 2020,Black,A writer is all Ive ever been. It has defined me as long as I can remember\\n\n
Mia Khalifa,June 30 2020,Light Green,You deserve better hun #justiceformia\\\\n\\r\\n\r\n
Lily H,June 30 2020,Pale Blue,I love you so much it hurts. I hope that the universe will allow us to be together again soon\\\\n\\r\\n\r\n
lilli t,June 30 2020,Yellow,ive thought about you almost every day. i wish we were still friends. Sometimes I feel like youre the only one who got me 100%. sometimes i cry listening to taylor swift because i think about how eted you used to get. do you still like her? what about the 1975? i dont draw that much anymore. im really sorry for it all.\\\\n\\r\\n\r\n
Harry Styles,June 30 2020,Pink,I cant wait to see you at the concert neyear!\\\\n\\r\\n\r\n
Jason,June 30 2020,Black,why wasnt i good enough\\\\n\\r\\n\r\n
Josh,June 30 2020,Red,thanks for being one of the first guys to be super important to me in college\\n\n
adam,June 30 2020,Turquoise,im in love with you but you dont love me back.\\\\n\\r\\n\r\n
Garrett,June 30 2020,Orange,youre right you werent enough\\n\n
Colton,June 30 2020,Light Blue,I really hope youre being true\\n\n
Andrea Garcia,June 30 2020,Light Blue,Do u love me like I love u? I always wonder what will happen if I tell u how I feel\\\\n\\r\\n\r\n
Jeremy,June 30 2020,Blue Grey,u deserved better than what i gave u\\n\n
My Prince,June 30 2020,Light Orange,I see you everyday in my dreams and i still miss you\\\\\\\\n-Lthien\\\\n\\r\\n\r\n
David OC,June 30 2020,Light Purple,i miss you and you probably dont even think of me\\\\n\\r\\n\r\n
Tanner,June 30 2020,Light Pink,u were my first boyfriend\\n\n
Owen,June 30 2020,Pale Blue,I just dont understand\\n\n
Logan,June 30 2020,Pink,u were my first real crush & my first kiss. i want nothing but the best for u. teme every now and then pls? u matured so much when u left\\n\n
jake,June 30 2020,Light Grey,I didnt realize it\\n\n
Rabia Altay,June 30 2020,Yellow,Bir zamanlar bir ocuk vard\\n\n
matthew,June 30 2020,Light Grey,you knew i was hurting but you still went to bed. you knew i was hurting but you still left me\\n\n
Brianna d,June 30 2020,Light Blue,Hey I hope your doing good I really miss you I messed everything up I was just scared I miss everything about you. You did nothing wrong it was just the wrong time and I wasnt ready to open up I know you deserve better and you will get better I promise\\\\n\\r\\n\r\n
Delonte,June 30 2020,Black,It was very to\\\\n\\r\\n\r\n
Jackie,June 30 2020,Tangerine,You are the best platonic older sister anyone could ask for\\n\n
Zoe R,June 30 2020,Pale Purple,Im sorry for not replying for hours\\n\n
ant,June 30 2020,Red,every song reminds me of you and I hate it\\\\n\\r\\n\r\n
Roberth,June 30 2020,Light Pink,All I did was be nice to you why did you have to talk behind my back and say nasty things about me?\\\\n\\r\\n\r\n
Toby M,June 30 2020,Light Purple,you hurt me a lot\\n\n
Macy S.,June 30 2020,Tangerine,Youre like a child but I guess thats why Im your mom friend\\n\n
Richie,June 30 2020,Light Grey,I hope you are happy with your choice\\n\n
LD,June 30 2020,Purple,You started caring again too late\\n\n
Hailey D.,June 30 2020,Tangerine,Youre an amazing friend. You get on my nerves sometimes but thats friendship\\n\n
David,June 30 2020,Dark Blue,I hope I can talk to you again soon. I miss you so much and you have no idea\\n\n
Thomas,June 30 2020,Light Blue,Times got rough and now we dont talk. You will always have a place in my heart.\\\\n\\r\\n\r\n
cassidy,June 30 2020,Black,i am breaking\\\\n\\r\\n\r\n
Andre,June 30 2020,Yellow,You hurt me beyond belief\\n\n
Braden,June 30 2020,White,It was 8th grade. My first year at my new school you sat behind me in social studies. I dont even think that your cute. Still dont. I fell in love with your personality. You were funny\\n\n
Justin,June 30 2020,Pale Pink,you have a heart of gold. i love you\\\\n\\r\\n\r\n
Maria,June 30 2020,Wine,I miss you but I dont think I should\\\\n\\r\\n\r\n
Chasen,June 30 2020,Black,They say you dont forget your first love. It must be true since Im still thinking about you 20 years later. I wish you nothing but happiness and a life full of love.\\\\n\\r\\n\r\n
Alex G,June 30 2020,Red,Im hoping you still remember what I last told you since you didnt even respond back\\\\n\\r\\n\r\n
Jack,June 30 2020,Pale Blue,I cant stop smiling when around you. I might believe youre one of only a few people I could fall in love with in my life.\\\\n\\r\\n\r\n
Ethan,June 30 2020,Light Blue,I always cared for you more than you did for me. You never made me feel special or loved yet I always like you more.\\\\n\\r\\n\r\n
My friends,June 30 2020,Black,Youre the reason I feel this way\\n\n
Samantha,June 30 2020,White,I know youre the one\\n\n
PHILIPENA,June 30 2020,Black,I love you for ever and always baba. You are my absolute world and that will never change I love you \\\\n\\r\\n\r\n
Dan,June 30 2020,Light Green,Loving you was the best and worst thing that ever happened to me.\\\\n\\r\\n\r\n
Alex,June 30 2020,Yellow,Do you still love me?\\\\n\\r\\n\r\n
Cody Griffith,June 30 2020,Tan,i have never felt this way with anyone before. i love you\\n\n
Alex,June 30 2020,Light Pink,I wish I could message you\\n\n
Ethan,June 30 2020,Pale Blue,I wanted to say I am sorry. I wish I could take it all back. You made me so happy and you made me feel loved. Even if I cant have you in my life the way I want you to be I hope one day we can talk. Love G\\\\n\\r\\n\r\n
Alex,June 30 2020,Pink,I still love you\\n\n
angus,June 30 2020,Turquoise,were best friends and i know my feelings could ruin us. it cant happen\\n\n
Alex,June 30 2020,Light Purple,You made me so happy and i am eternally grateful. I just wish i was the one.\\\\n\\r\\n\r\n
cassidy,June 30 2020,Black,i dont know how to tell you the truth because if i did i would break you even more. im sorry. i just need to take a break.\\\\n\\r\\n\r\n
R,June 30 2020,Light Pink,You broke me\\n\n
Paul,June 30 2020,Grey,You are my best friend\\n\n
Kelsey Atchley,June 30 2020,Light Purple,I still love you. Despite how much you hate me. Despite you already moving on.Despite you hitting on my friends. I know that Ill always love you. No matter what. I wish you would come back but\\n\n
S,June 30 2020,Dark Green,I loved you but I wasnt in love\\\\n\\r\\n\r\n
joshy,June 30 2020,Light Pink,we both messed up bad\\n\n
aliviah,June 30 2020,Light Purple,im sorry for not being ready. thank you for all of the love\\n\n
R,June 30 2020,Purple,You hurt me so much and it made me hurt you. I saw a side of myself I never thought Id see. You broke me.\\\\n\\r\\n\r\n
Wilcox,June 30 2020,Blue Grey,the night I poured my heart and soul out to you i felt invincible. but every lie you told me after chipped away a piece of me each time until i felt like nothing.\\\\n\\r\\n\r\n
Jaila,June 30 2020,Light Blue,Im sorry i really didnt mean to hurt u.\\\\n\\r\\n\r\n
Hunter C.,June 30 2020,Tangerine,Youre older than me. I like that.\\\\\\\\nL\\\\n\\r\\n\r\n
Bash,June 30 2020,Pale Pink,The tik tok tarot witches keep sending me signs you wanna talk to me I havent changed my number and I dont know if I changed my heart\\\\n\\r\\n\r\n
QV,June 30 2020,Purple,hey buddy\\n\n
Lucas,June 30 2020,Turquoise,I think were going to get married\\\\n\\r\\n\r\n
bryson,June 30 2020,Light Green,i could never love zian. im not coming back until i get a niall\\\\n\\r\\n\r\n
lucas,June 30 2020,Purple,its almost been a year and i still miss you. if you came back i would drop everything for you.\\\\n\\r\\n\r\n
Cobb Salad,June 30 2020,Dark Green,I miss you. I cry for you. I long for you. A year later\\n\n
Owen,June 30 2020,Light Purple,I love(d) you and you couldnt even teme back\\\\n\\r\\n\r\n
Melissa,June 30 2020,Black,you broke me\\n\n
Braedon,June 30 2020,Black,Sometimes I wonder if I will ever be able to stop caring\\n\n
Adam,June 30 2020,Blue,you say you love me but you dont act like it anymore. I just wish you would show me you love me.\\\\n\\r\\n\r\n
A,June 30 2020,Green,I wish I was there for your birthday. I will be smoking infront of your doorstep if you decided to come out. I know you arent home.\\\\n\\r\\n\r\n
Blue bird,June 30 2020,Dark Blue,You looked into my eyes that day we met\\n\n
